Sample,dimension,treatment,cellline,PR,ER
CytoPELP_E2_01_2D,adherent2D,e2,MCF7,endogenous,endogenous
CytoPELP_E2_02_2D,adherent2D,e2,MCF7,endogenous,endogenous
CytoPELP_E2_03_2D,adherent2D,e2,MCF7,endogenous,endogenous
CytoPELP_veh_01_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
CytoPELP_veh_02_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
CytoPELP_veh_03_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
LXSN_E2_01_2D,adherent2D,e2,MCF7,endogenous,endogenous
LXSN_E2_02_2D,adherent2D,e2,MCF7,endogenous,endogenous
LXSN_E2_03_2D,adherent2D,e2,MCF7,endogenous,endogenous
LXSN_veh_01_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
LXSN_veh_02_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
LXSN_veh_03_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
WTPELP_E2_01_2D,adherent2D,e2,MCF7,endogenous,endogenous
WTPELP_E2_02_2D,adherent2D,e2,MCF7,endogenous,endogenous
WTPELP_E2_03_2D,adherent2D,e2,MCF7,endogenous,endogenous
WTPELP_veh_01_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
WTPELP_veh_02_2D,adherent2D,vehicle,MCF7,endogenous,endogenous
WTPELP_veh_03_2D,adherent2D,vehicle,MCF7,endogenous,endogenous